CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;NTYPE;VISDIM1;VISDIM2;STAR;STAR_MAG;DIST_LY;MAG;N
1;NGC2067;;;;;5;46.60;0;7.00;RNe;0;0;;0;-999;;N
1;Ced129c;;;;;16;20.60;-20;8.00;RNe;0;0;;0;-999;;N
1;NGC1554;;;;;4;22.00;19;36.00;RNe;0;0;;0;-999;;N
1;Ced112;;;;;11;9.87;-76;36.95;RNe;0;0;;0;-999;;N
1;IC2177;Mon;;Moewennebel;Seagull Nebula;7;4.42;-10;27.30;RNe/HII/DN;120;120;;0;3650;15.23;N
1;IC2220;Car;;;;7;56.85;-59;7.52;ISM;5;5;HD 65750;0;1200;;N
1;IC444;;;;;6;18.57;23;18.80;RNe;0;0;;0;-999;;;N
1;IC4954;Vul;;4954/55;4954/55;20;4.80;29;15.00;HII;6;6;;0;7000;;N
1;NGC6334A;;;;;17;20.32;-35;54.92;HII;0;0;;0;-999;;N
1;IC423;;;;;5;33.35;0;38.00;MoC;0;0;;0;-999;;N
1;NGC2261;;;Hubble's Variable Nebula;Hubble's Variable Nebula;6;39.17;8;45.00;RNe;3;2;R Mon;0;2600;9.0;N
1;NGC2183;;;;;6;10.84;-6;12.02;HII;0;0;;0;-999;;N
1;IC135;;;;;1;33.20;30;28.00;ISM;0;0;;0;-999;;N
1;DWB67;;;;;20;27.30;39;42.00;HII;0;0;;0;-999;;N
1;NGC1737;;;;;4;54.11;-69;11.43;HII;0;0;;13.18;-999;;N
1;NGC5447;;;;;14;2.47;54;16.57;HII;0;0;;0;-999;;N
1;NGC261;;;;;0;46.52;-73;6.27;HII;0;0;;0;-999;;N
1;NGC592;;;;;1;33.00;30;34.62;HII;0;0;;13;-999;;N
1;IC417;;;;;5;28.10;34;25.00;HII;0;0;;0;-999;;N
1;NGC6476;;;;;17;54.03;-29;8.70;ISM;0;0;;0;-999;;N
1;NGC1985;;;;;5;37.80;31;59.40;RNe;0;0;;0;-999;;N
1;IC1644;;;;;1;9.22;-73;11.65;HII;0;0;;0;-999;;N
1;NGC1727;;;;;4;52.22;-69;20.33;HII;0;0;;11.06;-999;;N
1;NGC1491;Per;;SH2-206;SH2-206;4;3.27;51;18.90;HII;25;25;BD+50-886;11.22;11000;;N
1;LBN078.85+03.60;;;;;20;17.00;41;54.00;HII;0;0;;0;-999;;N
1;IC360;;;;;4;13.00;25;36.00;ISM;0;0;;0;-999;;N
1;NGC2238;;;;;6;30.50;5;3.00;HII;0;0;;0;-999;;N
1;NGC5367;Cen;;;;13;57.73;-39;58.80;RNe;1;1;;0;2100;;N
1;MCG-02-50-003;;;;;19;44.57;-14;42.34;HII;1;1;;0;-999;;N
1;NGC2359;CMa;;Thors Helm;Thor's Helmet;7;18.50;-13;13.80;HII;9;6;HD 56925;0;15000;11.45;N
1;NGC595;;;;;1;33.56;30;41.50;HII;0;0;;13.1;-999;;N
1;NGC2296;;;;;6;48.65;-16;54.10;RNe;1;1;;0;-999;;N
1;IC132;;;;;1;33.26;30;56.75;HII;0;0;;14.82;-999;;N
1;NGC2071;;;;;5;47.07;0;21.32;RNe;0;0;;0;-999;;N
1;NAMEELEPHANTTRUNKNEBULA;;;;;21;36.00;57;24.00;MoC;0;0;;0;-999;;N
1;CXOUJ140429.1+542353;;;;;14;4.49;54;23.88;SNR;0;0;;0;-999;;N
1;IC2159;;;;;6;9.90;20;25.00;ISM;0;0;;0;-999;;N
1;IC1848;Cas;;Seelennebel;Heart and Soul (Westerhout 5);2;49.35;60;38.05;HII;150;75;;6.5;7500;6.5;N
1;NGC2246;;;;;6;30.66;4;59.12;BNe;0;0;;0;-999;;N
1;IC466;;;;;7;8.62;-4;18.80;HII;0;0;;0;-999;;N
1;IC4592;;;;;16;13.00;-19;-18.00;RNe;0;0;;0;-999;;N
1;NGC2736;Vel;;Bleistiftnebel;Pencil Nebula;9;0.20;-45;57.00;HII;20;20;;0;815;12.0;N
1;NGC456;Tuc;;;;1;13.74;-73;17.43;HII;0;0;;0;200000;14.17;N
1;IC4955;;;;;20;4.90;29;11.00;HII;0;0;;0;-999;;N
1;NGC6847;;;;;19;56.15;30;12.83;HII;0;0;;13.06;-999;;N
1;NGC2195;;;;;6;14.40;17;39.00;ISM;0;0;;0;-999;;N
1;NGC1333B;Per;;;;3;29.02;31;12.92;MoC;6;3;;0;1000;5.6;N
1;NGC2035;;;;;5;35.53;-67;35.10;ISM;0;0;;10.99;-999;;N
1;IC2944;;;;;11;38.34;-63;22.37;HII;0;0;;0;-999;;N
1;NGC7822;;;;;0;1.14;67;25.28;HII;0;0;;0;-999;;N
1;IC63;;;;;0;59.02;60;53.30;HII;0;0;;0;-999;;N
1;NGC2182;;;;;6;9.50;-6;19.67;RNe;0;0;;0;-999;;N
1;NGC3581;Car;;;;11;11.95;-61;18.82;HII;0;0;;0;-999;;N
1;NGC6914;;;;;20;25.00;42;18.00;HII;0;0;;0;-999;;N
1;NGC2163;;;;;6;7.83;18;39.45;RNe;0;0;;0;-999;;N
1;IC5067;Cyg;;;;20;47.90;44;22.00;ISM;0;0;;0;-999;;N
1;IC1995;;;;;3;50.30;25;35.00;ISM;0;0;;0;-999;;N
1;IC5070;;;;;20;51.00;44;22.00;HII;0;0;;0;-999;;N
1;NGC1962;Dor;;;;5;27.00;-68;51.00;ISM;1;1;;11.47;160000;11.5;N
